kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
9203308,0,6295,1.676,1.156,21.766,18.858,Sun-like
9642131,0,3899,0.585,0.589,48.57,50.624,M-Dwarf
9693187,0,5790,1.42,0.95,19.946,16.285,Sun-like
7871531,0,5400,0.86,0.8,15.532,13.062,Sun-like
7673995,0,6516,1.734,1.1411,22.055,17.638,Sun-like
8574377,0,5666,1.708,1.1233,20.014,16.06,Sun-like
5440790,0,3878,0.574,0.5764,50.224,47.852,M-Dwarf
8349612,0,5835,1.012,0.773,20.536,16.253,Sun-like
10322366,0,3751,0.515,0.5234,39.369,33.804,M-Dwarf
12155405,0,4022,0.526,0.5425,21.585,22.74,Sun-like
9760257,0,5440,0.739,0.69,22.527,18.516,Sun-like
5867284,0,6248,1.996,1.0782,19.278,15.992,Sun-like
3338777,0,6181,1.688,1.1305,22.69,19.269,Sun-like
6586053,0,6148,1.501,1.096,21.394,17.576,Sun-like
3633889,0,6452,1.32,1.22,19.792,17.22,Sun-like
7183590,0,3722,0.46,0.4689,35.148,37.566,M-Dwarf
10322366,0,3749,0.514,0.521,48.028,42.68,M-Dwarf
7597446,0,5997,1.201,0.8017,22.712,17.677,Sun-like
11179629,0,5733,1.015,0.9582,20.164,20.877,Sun-like
11098364,0,5007,0.614,0.613,21.126,19.533,Sun-like
5263508,0,5906,1.474,0.9412,19.928,15.737,Sun-like
9528112,0,3000,0.144,0.1172,22.396,20.273,M-Dwarf
8179052,0,6537,1.485,1.2205,20.975,16.711,Sun-like
4349067,0,5884,1.715,1.137,20.38,16.534,Sun-like
8516041,0,6214,1.3,1.09,20.865,17.3,Sun-like
6049715,0,6045,1.153,0.9607,19.365,16.126,Sun-like
10124866,0,5755,0.91,0.88,10.15,9.372,Sun-like
10988876,0,6335,1.292,1.034,20.75,16.977,Sun-like
10456512,0,5463,0.719,0.7495,17.37,14.934,Sun-like
8316361,0,5767,1.81,1.001,19.746,16.44,Sun-like
7512041,0,5919,1.01,0.7652,20.551,15.576,Sun-like
7206252,0,6170,1.171,1.0889,16.249,13.614,Sun-like
5177450,0,5780,1.0,,18.132,18.175,Sun-like
4281485,0,6117,1.473,0.8353,21.907,17.942,Sun-like
9851665,0,5891,1.118,0.9752,21.324,17.114,Sun-like
6345835,0,3702,0.496,0.521,44.014,39.804,M-Dwarf
7440048,0,6004,1.043,0.888,20.05,17.022,Sun-like
5698676,0,5505,0.783,0.7511,19.399,16.079,Sun-like
3656476,0,5710,1.34,1.1,20.441,16.89,Sun-like
3956721,0,3981,0.587,0.5842,52.183,55.236,M-Dwarf
10016239,0,6340,1.28,1.23,19.544,19.173,Sun-like
7050496,0,5780,1.0,,8.993,10.219,Sun-like
8298626,0,6211,1.37,1.16,18.917,16.516,Sun-like
4562467,0,6085,1.029,0.9392,21.15,17.105,Sun-like
8082190,0,5846,1.275,1.0594,21.11,16.536,Sun-like
8188157,0,6880,1.752,1.4608,19.144,14.796,Sun-like
10794845,0,6398,1.16,1.17,17.454,14.748,Sun-like
9139163,0,6400,1.57,1.38,21.257,18.743,Sun-like
6022408,0,3417,0.248,0.2336,46.502,47.786,M-Dwarf
