kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
4554810,0,5735,1.279,1.093,21.025,17.317,Sun-like
7286531,0,6002,1.472,0.965,19.691,17.794,Sun-like
9527740,0,3918,0.574,0.5742,35.52,38.615,M-Dwarf
8982583,0,6561,1.793,1.377,19.442,17.549,Sun-like
9468214,0,5374,0.748,0.8314,22.282,18.802,Sun-like
9693187,0,5790,1.42,0.95,16.931,13.662,Sun-like
7700968,0,5982,1.21,1.0,22.303,18.509,Sun-like
5791753,0,3835,0.544,0.5549,51.68,50.295,M-Dwarf
7970740,0,5394,0.8,0.82,16.082,15.723,Sun-like
6680045,0,6296,1.169,1.0792,19.971,16.459,Sun-like
6966232,0,6271,1.767,1.3279,15.759,13.129,Sun-like
12204797,0,6387,1.428,1.09,20.81,17.336,Sun-like
6964893,0,5925,1.084,0.8682,19.6,15.876,Sun-like
7206252,0,6170,1.171,1.089,18.341,15.566,Sun-like
5869577,0,5387,0.807,0.786,20.844,17.166,Sun-like
3427720,0,6045,1.092,1.035,16.737,14.754,Sun-like
7019602,0,6197,1.554,1.2768,21.909,18.672,Sun-like
8831759,0,4970,1.979,0.9035,12.372,14.19,Sun-like
6143126,0,6157,1.35,1.0582,22.537,18.095,Sun-like
7510397,0,6110,1.81,1.25,15.217,12.687,Sun-like
9673360,0,5780,1.0,,16.384,16.422,Sun-like
4138654,0,6191,1.665,1.0511,19.175,15.518,Sun-like
10612448,0,3748,0.449,0.461,49.852,42.129,M-Dwarf
7662428,0,6367,1.387,1.31,20.617,23.161,Sun-like
8143842,0,5780,1.0,,16.253,16.55,Sun-like
